open,close,previous_day_open
603.59,597.15,609.25
609.25,608.31,609.87
609.87,609.23,606.28
606.28,609.87,607.22
607.22,605.98,607.25
607.25,606.97,610.59
610.59,607.15,608.84
608.84,610.68,608.02
608.02,609.24,607
607,608.24,623.42
623.42,606.72,622.93
622.93,623.51,626.35
626.35,622.86,614.63
614.63,626.32,610.57
610.57,614.54,606.51
606.51,610.44,608.99
608.99,606.59,598.59
598.59,608.63,575.55
575.55,598.21,572.41
572.41,575.54,575.55
575.55,572.3,577.59
577.59,575.47,574.11
574.11,577.5,574.07
574.07,574.11,569.83
569.83,573.91,579.45
579.45,569.95,577.75
577.75,579.65,580.18
580.18,577.76,583.41
583.41,580.18,586.77
586.77,583.41,581.31
581.31,586.75,581.94
581.94,581.31,576.08
576.08,581.7,574.34
574.34,575.63,573.71
573.71,574.32,577.76
577.76,573.22,567.24
567.24,577.44,570.49
570.49,567.24,585.59
585.59,570.47,587.36
587.36,585.59,588.8
588.8,587.56,592.12
592.12,589.12,587.65
587.65,592.1,591.04
591.04,587.8,592.74
592.74,591.05,587.77
587.77,592.69,575.03
575.03,587.78,578.28
578.28,575.04,566.33
566.33,578.29,548.66
548.66,566.36,606.4
606.4,547.47,624.6
624.6,606.27,655.1
655.1,624.68,657.01
657.01,655.05,655.11
655.11,656.99,654.49
654.49,655.03,651.63
651.63,654.35,654.23
654.23,651.78,661.26
661.26,654.1,655.41
655.41,661.28,650.73
650.73,655.56,664.92
664.92,650.62,665.23
665.23,665.01,672.81
672.81,665.68,672.74
672.74,672.86,679.81
679.81,673.11,661.99
661.99,679.46,663.78
663.78,660.77,659.17
659.17,663.25,652.92
652.92,658.08,664.8
664.8,654.47,648.28
648.28,664.55,648.48
648.48,647.66,650.6
650.6,649.36,666.38
666.38,650.96,640.69
640.69,666.52,678.09
678.09,640.56,670.42
670.42,677.33,683.21
683.21,670.63,658.8
658.8,683.66,704.97
704.97,658.66,676.73
676.73,703.7,672.51
672.51,676.3,640.59
640.59,673.34,644.12
644.12,639.89,658.1
658.1,647,629.35
629.35,655.27,665.93
665.93,629.37,665.28
665.28,665.12,625.58
625.58,665.3,597.44
597.44,623.98,665.91
665.91,596.12,735.88
735.88,666.65,763.93
763.93,737.23,756.69
756.69,763.78,748.76
748.76,756.23,768.49
768.49,748.91,696.52
696.52,766.31,685.68
685.68,694.47,704.5
704.5,685.56,671.65
671.65,704.38,609.68
609.68,672.78,578.67
578.67,606.73,575.84
575.84,577.47,582.2
582.2,574.63,577.17
577.17,581.64,585.45
585.45,576.6,574.6
574.6,585.54,573.31
573.31,574.98,569.71
569.71,572.73,537.68
537.68,569.19,536.51
536.51,537.97,531.11
531.11,536.92,534.19
534.19,531.39,528.47
528.47,533.86,527.48
